Region,Scenario,Variable,Unit,2000,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Notes,,,,,
World,AIM - RCP 6.0,CO2 emissions - Total,PgC/yr,7.884,9.167,9.389,9.357,9.438,10.840,12.580,14.566,16.477,17.525,14.556,13.935,,,,,,
World,MiniCAM - RCP 4.5,CO2 emissions - Total,PgC/yr,7.884,9.167,9.518,10.212,11.170,11.537,11.280,9.585,7.222,4.190,4.220,4.249,,,,,,
World,IMAGE - RCP3-PD (2.6),CO2 emissions - Total,PgC/yr,7.884,9.167,9.878,10.260,7.946,5.024,3.387,2.035,0.654,0.117,-0.268,-0.420,,,,,,
World,MESSAGE - RCP 8.5,CO2 emissions - Total,PgC/yr,7.884,9.167,9.969,12.444,14.554,17.432,20.781,24.097,26.374,27.715,28.531,28.817,,,,,,
Region,Inventory,Variable,Unit,2000,,,,,,,,,,,,,,,,,
Region,Historic,Variable,Unit,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2005,
World,ID - hist,CO2 emissions - Total,PgC/yr,0.508,0.610,0.617,0.857,0.968,1.187,1.641,1.653,1.949,2.066,2.522,3.769,5.273,6.357,7.463,7.884,9.167,
Region,Extension,Variable,Unit,2100,2120,2140,2160,2180,2200,2220,2240,2260,2280,2300,,,,,,,
World,ECP 6,CO2 emissions - Total,PgC/yr,13.935,,,,,,,,,,,,,,,,,
World,ECP 4.5,CO2 emissions - Total,PgC/yr,4.249,,,,,,,,,,,,,,,,,
World,ECP3-PD,CO2 emissions - Total,PgC/yr,-0.420,,,,,,,,,,,,,,,,,
World,ECP 8.5,CO2 emissions - Total,PgC/yr,28.817,,,,,,,,,,,,,,,,,
" © RCP Database (Version 2.0.5) http://www.iiasa.ac.at/web-apps/tnt/RcpDb 
 generated: 2018-04-25 18:20:03

Please use the following references for the scenario data presented in the spreadsheet:
RCP 8.5:
Riahi, K., and Nakicenovic, N. (eds): 2007, Greenhouse Gases - Integrated Assessment, Technological Forecasting and Social Change, Special Issue, 74(7), September 2007, 234 pp. (ISSN 0040-1625)

RCP 6.0:
Fujino, J., R. Nair, M. Kainuma, T. Masui, Y. Matsuoka, 2006. Multi-gas mitigation analysis on stabilization scenarios using AIM global model. Multigas Mitigation and Climate Policy. The Energy Journal Special Issue.
Hijioka, Y., Y. Matsuoka, H. Nishimoto, M. Masui, and M. Kainuma, 2008. Global GHG emissions scenarios under GHG concentration stabilization targets. Journal of Global Environmental Engineering 13, 97-108.

RCP 4.5:
Clarke, L., J. Edmonds, H. Jacoby, H. Pitcher, J. Reilly, R. Richels, 2007. Scenarios of Greenhouse Gas Emissions and Atmospheric Concentrations. Sub-report 2.1A of Synthesis and Assessment Product 2.1 by the U.S. Climate Change Science Program and the Subcommittee on Global Change Research. Department of Energy, Office of Biological & Environmental Research, Washington, 7 DC., USA, 154 pp.
Smith, S.J. and T.M.L. Wigley, 2006. Multi-Gas Forcing Stabilization with the MiniCAM. Energy Journal (Special Issue #3) pp 373-391.
Wise, MA, KV Calvin, AM Thomson, LE Clarke, B Bond-Lamberty, RD Sands, SJ Smith, AC Janetos, JA Edmonds. 2009. Implications of Limiting CO2 Concentrations for Land Use and Energy. Science. 324:1183-1186. May 29, 2009.

RCP3-PD (2.6):
van Vuuren, D.P., B. Eickhout, P.L. Lucas, and M.G.J. den Elzen, 2006. Long-term multi-gas scenarios to stabilise radiative forcing - Exploring costs and benefits within an integrated assessment framework. Multigas Mitigation and Climate Policy. The Energy Journal Special Issue.
van Vuuren, D., M. den Elzen, P. Lucas, B. Eickhout, B. Strengers, B. van Ruijven, S. Wonink, R. van Houdt, 2007. Stabilizing greenhouse gas concentrations at low levels: an assessment of reduction strategies and costs. Climatic Change, doi:10.1007/s/10584-006-9172-9.",,,,,,,,,,,,,,,,,,,,,
